Region,Location,Keywords
Mumbai,Mumbai,"['satisfying', 'check', 'pricing', 'easier', 'ziyan', 'tshirts', 'modifications', 'make', 'mr', 'location', 'agile', 'mumbai', 'superb', 'air', 'feedback', 'sleeve', 'salesman', 'continue', 'properly', 'code', 'experienced', 'handling', 'half', 'especially', 'fits', 'improvement', 'return', 'longer', 'high', 'time', 'ajaz', 'raza', 'plz', 'smiling', 'operative', 'knowledge', 'discounts', 'irshad', 'brand', 'sustainable', 'prachi', 'length', 'approachable', 'thumbs', 'tops', 'experience', 'informed', 'pleasure', 'color', 'saddam', 'best', 'comfortable', 'choice', 'vashi', 'outlet', 'choosing', 'security', 'yarnon', 'qureshi', 'day', 'ijaz', 'tees', 'communication', 'coming', 'sales', 'loyalty', 'staff', 'clothes', 'gud', 'darshan', 'company', 'surti', 'pockets', 'kritika', 'raj', 'helpful', 'bablu', 'associate', 'alteration', 'mizaaj', 'redeemed', 'difference', 'scanner', 'attendee', 'support', 'inclusive', 'alway', 'mall', 'style', 'babalu', 'fantastic', 'mannered', 'flawless', 'gangawane', 'afreen', 'pavan', 'smooth', 'ladies', 'satisfied', 'behaved', 'attendant', 'help', 'new', 'ether', 'shirt', 'polo', 'thx', 'thnks', 'upselling', 'shoppers', 'vishal', 'asscet', 'printed', 'faizaan', 'siddharth', 'faizabad', 'given', 'festive', 'shopping', 'enhance', 'client', 'mens', 'rise', 'yaronsing', 'lengths', 'birthday', 'par', 'job', 'supportive', 'miral', 'plus', 'collaboration', 'complaints', 'petfect', 'ifjana', 'aakash', 'deliver', 'outfit', '551', 'services', 'star', 'nd', 'gillian', 'accessories', 'ji', 'tanvir', 'helping', 'policy', 'shades', 'shadab', 'santcruz', 'guidance', 'pair', 'salesgirl', 'huntington', 'required', 'levi', 'sale', 'choices', 'exactly', 'xl', 'variety', 'standards', 'nill', 'friendly', 'price', 'thank', 'polite', 'advice', 'explore', 'jayesh', 'collar', 'helped', 'borivali', 'faster', 'shifali', 'things', 'recommend', 'approach', 'salesperson', 'products', 'quality', 'moheeb', 'behaviour', 'sharing', 'offer', 'servies', 'perfect', 'nice', 'beer', 'apparel', 'deals', 'courteous', 'people', 'spacious', 'cooperative', 'work', 'purchase', 'phoenix', 'treatment', 'wear', 'nil', 'ok', 'ravi', 'gave', 'levis', 'tushar', 'anita', 'improve', 'sizes', 'yusuf', 'overall', 'moment', 'proactive', 'raise', 'grt', 'ragini', 'brilliant', 'shaikh', 'unique', 'neee', 'abhay', 'swarnkar', 'cery', 'thankyou', 'picking', 'offers', 'sayeed', 'junaid', 'fashion', 'attentive', 'apparal', 'varieties', 'shamshuddin', 'calm', 'casual', 'khan', 'cost', 'sudhanshu', 'excellent', 'bit', 'regards', 'waist', 'faizn', 'servy', 'merchandise', 'customers', 'customer', 'trained', 'wifi', 'rude', 'seasons', 'man', 'oversized', 'vipul', 'supriya', 'fine', 'need', 'options', 'rubina', 'surekha', 'selling', 'smart', 'welcoming', 'kiye', 'jeans', 'knowledgeable', 'yadav', 'colour', 'colours', 'requirements', 'helpfully', 'compensated', '40', 'jackets', 'available', 'attend', 'visit', 'petite', 'skill', 'discount', 'collections', 'excelent', 'ali', 'parson', 'shirts', 'world', 'prints', 'warm', 'sanjay', 'mario', 'going', 'guided', 'manga', 'bigger', 'kiya', 'online', 'better', 'kharghar', 'stefali', 'storeroom', 'prompt', 'loved', 'yaron', 'kalpna', 'fit', 'pattern', 'patient', 'flat', 'aqeel', 'mohit', 'want', 'tanveer', 'hardik', 'assisted', 'inventory', 'zainab', 'denim', 'improved', 'warmer', 'service', 'professional', 'strech', 'collection', 'launching', 'happy', 'economical', 'explained', 'stores', 'awesome', 'tqsm', 'special', 'jog', 'designs', 'store', 'effectiveness', 'gulshan', 'santacruz', 'footwear', 'ac', 'exciting', 'gjig', 'denium', 'styles', 'goria', 'babu', 'regular', 'reduce', 'showed', 'super', 'information', 'satya', 'person', 'road', 'amazing', 'decision', 'helpfull', 'akhil', 'aman', 'points', 'sakib', 'variants', 'organisation', 'really', 'denied', 'boot', 'coupon', 'far', 'manisha', 'fade', 'requirement', 'xxl', 'satyajeet', 'esther', 'shopperstop', 'flexibility', 'upsold', 'gents', '501', 'shop', 'anil', 'assistance', 'suggested', 'raziya', 'colors', 'shoping', 'men', 'indian', 'delightful', 'prices', 'size', 'khatib', 'jishan', 'women', 'manish', 'fitting', 'lesser', 'chinos', 'provided', 'beige', 'nature', 'fittings', 'atique', 'appreciated', 'delivery', 'bless', 'humble', 'long', 'okay', 'na', 'rubber', 'babloo', 'beauty', 'zeeshan', 'shefali', 'denims', 'faisal', 'faizan', 'writing', 'cool', 'bhai', 'skills', 'qg', 'sharma', 'rutika', 'sumera', 'rahul', 'chetri', 'low', 'sharik', 'product', 'range', 'ani', 'mayur', 'shopper', 'anand', 'cotton', 'fauzan', 'exp', 'chest', 'team', 'tag', 'hiring', 'malad', 'think', 'recommendations', 'section', 'stock', 'great', 'revel', 'slim', 'manager', 'thanks', 'consultant', 'reduction', 'material', 'suggest', 'asha', 'sumaira', 'usufbhai', 'ifjan', 'immaculate', 'buy1', 'lakshana', 'info', 'good', 'handed', 'saes', 'membership']"
ROMG,Nashik,"['quite', 'best', 'improvement', 'shopping', 'mall', 'pricing', 'service', 'collection', 'sales', 'happy', 'make', 'fashioned', 'perfection', 'stocks', 'designer', 'nice', 'new', 'old', 'store', 'good', 'shirts']"
ROMG,Pune,"['rajesh', 'executive', 'given', 'misbah', 'shopping', 'water', 'add', 'sgs', 'cost', 'madam', 'tshirts', 'excellent', 'helpfull', 'like', 'waist', 'make', 'jyoti', 'mansoor', 'appreciable', 'points', 'bottled', 'customer', 'job', 'attended', 'really', 'employee', 'superb', 'air', 'need', 'options', 'salesman', 'formal', 'soni', 'washed', 'yash', 'increase', 'jitendra', 'jeans', 'fits', 'lovely', 'colours', 'wonderful', 'assistance', 'mail', 'market', 'styling', 'men', 'available', 'prices', 'levi', 'size', 'discounts', 'visit', 'uniform', 'fitting', 'women', 'recommending', 'shops', 'discount', 'variety', 'dry', 'billing', 'experience', 'tarique', 'appreciated', 'amol', '34', 'shirts', 'sagar', 'na', 'color', 'best', 'means', 'srishti', 'conditioning', 'redemption', 'products', 'sania', 'om', 'saniya', 'stalf', 'sales', 'staff', 'online', 'girl', 'allgood', 'clothes', 'bhai', 'room', 'servies', 'nagar', 'perfect', 'lycra', 'numbers', 'nice', 'helpful', 'product', 'polos', 'alteration', 'needs', 'pune', 'different', 'work', 'reasonable', 'expected', '38', 'expirence', 'trial', 'identity', 'kalung', 'inclusive', 'mall', 'ok', 'style', 'stock', 'levis', 'great', 'receipt', 'service', 'professional', 'ambience', 'collection', 'manager', 'sizes', 'bottle', 'happy', 'overall', 'purchasing', 'provide', 'design', 'avantika', 'kunal', 'material', 'help', 'rohit', 'drop', 'new', 'store', 'working', 'polo', 'offline', 'tshirt', 'good', 'change', 'offers', 'quantity', 'buying', 'styles', 'vent']"
ROMG,Nagpur,"['given', 'person', 'shopping', 'vip', 'excellent', 'helpfull', 'cloth', 'thnx', 'trained', 'vipu', 'supportive', 'ambiance', 'thakre', 'options', 'salesman', '2500', 'jeans', 'sevice', 'pankaj', 'shop', 'tea', 'subham', 'helping', 'colours', 'suggestions', 'time', 'colors', 'mani', 'appreciat', 'visit', 'fitting', 'kajal', 'mukunda', 'viplesh', 'experience', 'coffee', 'viplavesh', 'thank', 'rewati', 'shirts', 'abhi', 'polite', 'color', 'mast', 'sheds', 'happily', 'mukund', 'maggie', 'heena', 'products', 'quality', 'moon', 'sales', 'staff', 'behaviour', 'offer', 'adding', 'deal', 'perfect', 'nice', 'product', 'range', 'cooperative', 'officials', 'purchase', 'sold', 'goodbjob', 'ankit', 'introducing', 'team', 'razik', 'support', 'ok', 'pants', 'service', 'ambience', 'collection', 'sizes', 'happy', 'thanks', 'cargo', 'behave', 'abhishek', 'awesome', 'store', 'good', 'shubhan']"
MPCG,Bhopal,"['reduce', 'present', 'jeans', 'varieties', 'team', 'ji', 'wonderful', 'confusing', 'hook', 'bring', 'excellent', 'great', 'service', 'coming', 'cloth', 'collection', 'sizes', 'staff', 'winter', 'clothes', 'prices', 'size', 'awesome', 'satisfactory', 'perfect', 'customer', 'fitting', 'help', 'improvements', 'nice', 'variety', 'febric', 'shirt', 'impressive', 'rakesh', 'hanging', 'helpful', 'product', 'tshirt', 'liked', 'good', 'experience', 'range', 'friendly', 'offers', 'fashion', 'styles', 'costly', 'shirts']"
Gujarat,Ahmedabad,"['executive', '42', 'water', 'diff', 'hemangi', 'suneel', 'tshirts', 'greta', 'cloth', 'chauhan', 'yagnik', 'make', 'thbx', 'mr', 'niketh', 'thbxxxx', 'greeting', 'supporting', 'superb', 'feedback', 'defective', 'salesman', 'increase', 'politely', 'handling', 'daar', 'dhanra', 'improvement', 'boy', 'shahbaz', 'emzing', 'high', 'nothingggg', 'darshana', 'discounts', 'avi', 'rs8k', 'brand', 'cordial', 'hoshangabad', 'arrival', 'tops', 'lights', 'experience', 'thenku', 'absolutely', 'innovation', 'color', 'best', 'comfortable', 'outlet', 'darshhita', 'sales', 'staff', 'clothes', 'gud', 'response', 'cash', 'raj', 'helpful', 'alteration', 'clean', 'chair', 'support', 'pintu', 'style', 'byregar', 'variant', 'satisfactory', 'new', 'sarvis', 'shirt', 'polo', 'thx', 'ahmedabad', 'fabulous', 'goid', 'dipak', 'mehul', 'firoz', 'assist', 'music', 'grow', 'didi', 'shopping', 'exclusive', 'bhavre', 'sonu', 'kahar', 'sopportiv', 'niket', 'talented', 'job', 'supportive', 'xx', 'yellow', 'hemngi', 'guy', 'sofa', 'bahu', 'services', 'nd', 'daughter', 'ji', 'renuka', 'hh', 'suggestions', 'helping', 'superbservice', 'vinay', 'frnd', 'kevin', 'hoshsng', 'levi', 'moj', 'sale', 'year', 'hoshang', 'extent', 'thmx', 'variety', 'bhaiya', 'thenx', 'friendly', 'price', 'thnxxxx', 'thank', 'polite', 'helped', 'pathan', 'majid', 'vasant', 'selection', 'sir', 'supendous', 'salesperson', 'products', 'quality', 'panchal', 'gift', 'fashionista', 'trends', 'behaviour', 'guide', 'point', 'room', 'perfect', 'flagship', 'cheaper', 'nice', 'serbia', 'needed', 'cooperative', 'keval', 'ghoo', 'purchase', 'work', 'nikith', 'little', 'farid', 'hoshng', 'stff', 'beta', 'wear', 'finest', 'ok', 'levis', 'improve', 'sizes', 'overall', 'goor', 'harsha', 'provide', 'cute', 'thnxxx', 'right', 'tshirt', 'offers', 'hood', 'varieties', 'deepak', 'nikhit', 'cards', 'excellent', 'suggestion', 'god', 'cloths', 'seeling', 'customers', 'customer', 'thnx', 'trend', 'attended', 'comfort', 'fine', 'need', 'options', 'rooms', 'jacket', '512', 'selling', 'wel', 'survice', 'jeans', 'kind', 'raxenukakx', 'colour', 'goo', 'requirements', 'shade', 'embition', 'visit', 'cargos', 'skill', 'alreday', 'fast', 'discount', 'collections', 'daksha', 'option', 'gita', 'rs1k', 'goodj', 'shirts', 'thing', 'sanjay', 'servis', 'jamnagar', 'online', 'better', 'remove', 'servant', 'prompt', 'deepu', 'loved', 'fit', 'offerings', 'ketan', 'servise', 'experiences', 'hardik', 'assisted', 'expirence', 'wow', 'trial', 'nikit', 'cg', 'impressing', 'improved', 'process', 'service', 'goodhelp', 'ambience', 'collection', 'happy', 'behave', 'monika', 'awesome', 'satisfaction', 'palak', 'song', 'store', 'dharam', 'ac', 'biskit', 'looks', 'styles', 'super', 'person', 'khushi', 'amazing', 'okey', 'like', 'floor', 'nicely', 'hai', 'changing', 'really', 'depak', 'hopd', 'dave', 'nisha', 'drashti', 'accompaning', 'shop', 'qulity', 'santhosh', 'just', 'care', 'luck', 'givan', 'prices', 'passion', 'size', 'fitting', 'geetaaaa', 'women', 'trivedi', 'gpd', 'juned', 'provided', 'india', 'sopporting', 'nature', 'darshita', 'mrdarshan', 'humble', 'rate', 'na', 'ones', 'denims', 'nyc', 'faizan', 'proved', 'bhai', 'sharma', 'outstanding', 'rahul', 'geeta', 'irritating', 'patel', 'nikita', 'product', 'range', 'buy', '100', 'saru', 'food', 'exp', 'team', 'daxa', 'behavior', 'hoot', 'great', 'thanks', 'thnxx', 'sarvice', 'affordable', 'rajul', 'suggest', 'gppd', 'gay', 'nshxhdhensnjd', 'aaaaaaaaaaaaaaa', 'expression', 'good', 'staffs', 'treated']"
Gujarat,Baroda,"['save', 'focuses', 'inorebit', 'rajesh', 'super', 'given', 'interaction', 'person', 'shopping', 'boroda', 'cost', 'amazing', 'choudhary', 'madam', 'tshirts', 'acknowledgement', 'excellent', 'like', 'inore', 'god', 'mitash', 'include', 'purohit', 'make', 'try', '10', 'inorbit', 'customer', 'mr', 'attended', 'supportive', 'hi', 'job', 'saras', 'priyanka', 'hinal', 'members', 'niceee', 'superb', 'mitesh', 'options', 'rooms', 'ashfaque', 'rathod', 'worth', 'entire', 'increase', 'makhwana', 'politely', 'pinkal', 'services', 'jeans', 'knowledgeable', 'colour', 'shop', 'items', 'lovely', 'requirements', 'clothing', 'just', 'faded', 'say', 'required', 'deepika', 'operative', 'curve', 'hours', 'value', 'levi', 'enveloping', 'visit', 'discounts', 'brand', 'cargos', 'skill', 'women', 'fitting', 'discount', 'variety', 'tosif', 'standards', 'eva', 'experience', 'friendly', 'standard', 'nature', 'price', 'beautifull', 'thank', 'shirts', 'polite', 'na', 'best', 'rakhkho', 'miteshbhai', 'means', 'asked', 'pretty', 'went', 'things', 'recommend', 'khub', 'selection', 'denims', 'tees', 'salesperson', 'products', 'communication', 'ram', 'outfits', 'quality', 'isfine', 'girls', 'sales', 'dipika', 'staff', 'behaviour', 'amzad', 'guide', 'clothes', 'rajeshbhai', 'bhai', 'room', 'prompt', 'krunal', 'perfect', 'evening', 'felt', 'makawana', 'nice', 'levies', 'jolly', 'lighting', 'helpful', 'patel', 'original', 'product', 'makwana', 'apparel', 'people', 'favourite', 'range', 'cooperative', 'halpfull', 'marketing', 'showroom', 'goods', 'work', 'toshif', 'blue', 'managed', 'assisted', 'gods', 'met', 'greatest', 'team', 'wear', 'apparels', 'ishika', 'expensive', 'support', 'niraj', 'behavior', 'mall', 'ok', 'improved', 'stock', 'laxmi', 'style', 'levis', 'great', 'fantastic', 'improve', 'service', 'infrastructure', 'ashfaq', 'collection', 'trusted', 'ambience', 'niles', 'satisfied', 'happy', 'thanks', 'overall', 'pay', 'explained', 'sarvice', 'tausif', 'mm', 'trendy', 'awesome', 'manjalpur', 'kunal', 'verma', 'material', 'shaikh', 'affordable', 'store', 'shirt', 'polo', 'inbit', 'sing', 'good', 'change', 'erupuan', '1st', 'staffs', 'vadodara', 'attentive', 'styles', 'sarvish']"
Gujarat,Surat,"['prodoct', 'vry', 'temperature', 'xtukk', 'super', 'deepak', 'shopping', 'add', 'amazing', 'pricing', 'ntg', 'excellent', 'bo', 'like', 'make', 'cloths', 'customers', 'ty', 'fine', 'feedback', 'sleeve', 'salesman', 'rooms', 'ugguu', 'hot', 'thigh', 'expressions', 'services', 'jeans', 'nd', 'kartik', 'shop', 'active', 'anil', 'graet', 'goo', 'suggestions', 'helping', 'look', 'high', 'likes', 'vikram', '40', 'men', 'available', 'prices', 'exilent', 'levi', 'discounts', 'shubham', 'fitting', 'choices', 'collections', 'tops', 'experience', 'price', 'fittings', 'everthing', 'shirts', 'polite', 'rate', 'color', 'comfortable', 'best', 'shakil', 'suoerb', 'nyc', 'quality', 'trends', 'staff', 'employe', 'better', 'clothes', 'tabrez', 'bhai', 'designed', 'decrease', 'perfect', 'response', 'nice', 'pattern', 'gd', 'helpful', 'product', 'vasava', 'servise', 'cooperative', 'stuff', 'assisted', 'colaction', '541', 'wear', 'support', '8k', 'comments', 'ok', 'huge', 'denim', 'stock', 'levis', 'great', 'service', 'collection', 'everytime', 'happy', 'thanks', 'cargo', 'sarvice', 'awesome', 'design', 'heuirr', 'shaikh', 'damami', 'store', 'collor', 'dipak', 'good', 'sangeeta', 'mandrine']"
Gujarat,Rajkot,"['polite', 'services', 'jeans', 'ver', 'best', 'comfortable', 'choice', 'servis', 'hospitality', 'exercise', 'shopping', 'cost', 'ok', 'stock', 'tshirts', 'fututt6t8ff', 'excellent', 'fantastic', 'great', 'products', 'like', 'service', 'quality', 'collection', 'fgigcoh', 'sales', 'staff', 'behaviour', 'yogesh', 'yagnik', 'clothes', 'levi', 'size', 'stitch', 'cool', 'design', 'brand', 'nice', 'hi', 'ambiance', 'bhavin', 'store', 'rajkot', 'superb', 'shirt', 'polo', 'fabulous', 'product', 'hygiene', 'bhagvati', 'courteous', 'budgeted', 'good', 'experience', 'gosai', 'nature', 'mehul', 'staffs', 'fashion', 'regular']"
Gujarat,Jamnagar,"['pawan', 'polite', 'services', 'jeans', 'best', 'items', 'cary', 'vijay', 'mamta', 'wider', 'ok', 'shades', 'bluockbuster', 'grey', 'levis', 'excellent', 'helpfull', 'service', 'pavan', 'quality', 'required', 'sales', 'sizes', 'staff', 'collection', 'better', 'happy', 'behaviour', 'bag', 'available', '1000', 'bhai', 'skills', 'awesome', 'women', 'outstanding', 'shorts', 'nice', 'levies', 'variety', 'bhaiya', 'green', 'shirt', 'low', 'need', 'chinos', 'yaa', 'good', 'experience', 'changes', 'cooperative', 'officials', 'price', 'increase', 'stuff']"
ROMG,Amravati,"['shop', 'newstock', 'great', 'service', 'collection', 'trends', 'staff', 'awesome', 'veri', 'arun', 'brand', 'nice', 'store', 'exellent', 'deals', 'good', 'experience', 'exelent', 'styles']"
ROMG,Goa,"['farzana', 'vry', 'northing', 'varieties', 'person', 'shopping', 'diff', 'add', 'amazing', 'margao2', 'excellent', 'esp', 'like', 'bit', 'panjim', 'rewards', 'floor', 'make', 'jyoti', 'ironed', 'nicely', 'customers', 'goa', 'customer', 'trained', 'nic', 'trousers', 'salim', 'attended', 'job', 'zip', 'fine', 'superb', 'need', 'options', 'guy', 'rinky', 'fade', 'increase', 'experienced', 'handling', 'western', 'outfit', 'services', 'welcoming', 'jeans', 'goood', 'availability', 'shop', 'colours', 'wonderful', 'stylist', 'gets', 'dimple', 'clothing', 'shades', 'trolley', 'sm', 'colors', 'jackets', 'friends', 'bag', 'available', 'prices', 'levi', 'size', 'office', 'visit', 'payment', 'black', 'brand', 'women', 'choices', 'eligible', 'variety', 'vouchers', 'stoke', 'extra', 'workers', 'raveena', 'experience', 'friendly', 'feedbacks', 'thank', 'brands', 'shirts', 'collect', 'janice', 'na', 'vishanka', 'kp', 'best', 'quick', 'choice', 'products', 'qassim', 'fibers', 'outfits', 'gift', 'quality', 'girls', 'sales', 'staff', 'better', 'yogesh', 'clothes', 'gud', 'perfect', 'margao', 'lycra', 'nice', 'porvorim', 'benefits', 'fit', 'helpful', 'crew', 'groomed', 'courteous', 'people', 'suhana', 'cooperative', 'altered', 'vanesh', 'cotton', 'clean', 'work', 'stuff', 'little', 'giving', 'team', 'support', 'inclusive', 'personalized', 'ok', 'denim', 'style', 'appreciate', 'section', 'levis', 'pls', 'great', 'anita', 'improve', 'service', 'manager', 'collection', 'sizes', 'happy', 'overall', 'thanks', 'attendant', 'dress', 'awesome', 'calangute', 'variation', 'store', 'shirt', 'crop', 'shoes', 'fabulous', 'tshirt', 'good', 'singh', 'rates', 'styles', 'pieces']"
Gujarat,Anand,"['okay', 'got', 'improvement', 'water', 'ok', 'amazing', 'service', 'cloth', 'collection', 'required', 'staff', 'happy', 'serve', 'perfect', 'customer', 'nice', 'supportive', 'superb', 'helpful', 'good', 'experience', 'financially']"
MPCG,Gwalior,"['team', 'denim', 'style', 'excellent', 'service', 'quality', 'collection', 'staff', 'jyoti', 'sjdhdh', 'women', 'nice', 'supportive', 'niceee', 'mark', 'good', 'experience', 'upto', 'shirts']"
Gujarat,Vapi,"['fantabulous', 'super', 'parfet', 'shopping', 'pro', 'priti', 'rs', 'including', 'excellent', 'dheraj', 'make', 'cloths', 'handled', 'nicely', 'customers', 'customer', 'job', 'supportive', 'members', 'tahnk', 'options', 'welcome', 'liked', 'chahie', 'grateful', 'services', 'jeans', 'bye', 'duds', 'colours', 'helping', 'suggestions', 'splendid', 'care', 'lekar', 'authentic', 'coustomer', 'levi', 'discounts', 'women', 'dheeraj', 'shair', 'ultimate', 'collections', 'variety', 'recomending', 'experience', 'bittu', 'friendly', 'thank', 'shirts', 'polite', 'advice', 'premium', 'sttaf', 'best', 'corporative', 'products', 'quality', 'staff', 'behaviour', 'better', 'clothes', 'gud', 'elegant', 'bhai', 'cool', 'perfect', 'nice', 'product', 'vapi', 'cooperative', 'dhiraj', 'goods', 'work', 'team', 'stalk', 'behavior', 'extend', 'effort', 'levis', 'great', 'improve', 'service', 'ambience', 'collection', 'happy', 'overall', 'happiest', 'organised', 'satisfactory', 'satisfaction', 'tem', 'new', 'store', 'pleasant', 'good', 'offers', 'fashion', 'attentive', 'preeti']"
Gujarat,Bhuj,"['reasonable', 'goodbye', 'na', 'bhuj', 'best', 'comfortable', 'presentation', 'deepak', 'shopping', 'support', 'model', 'levis', 'excellent', 'heena', 'improve', 'service', 'collection', 'staff', 'happy', 'redloop', 'clothes', 'prices', 'awesome', 'customer', 'skill', 'nic', 'nice', 'new', 'store', 'product', 'good', 'experience', 'cooperative', 'increase']"
MPCG,Indore,"['polite', 'millennial', 'best', 'wonderful', 'khushi', 'class', 'redeemed', 'just', 'excellent', 'great', 'service', 'professional', 'collection', 'sizes', 'staff', 'overall', 'panwar', 'value', 'levi', 'visit', 'shubham', 'brand', 'mr', 'perfect', 'points', 'outstanding', 'redeem', 'discount', 'job', 'nice', 'attended', 'increase', 'appropriated', 'variety', 'variations', 'store', 'maintenance', 'need', 'good', 'experience', 'structure', 'looks', 'fashion']"
MPCG,Raipur,"['printed', 'services', 'exlent', 'jeans', 'odisha', 'best', 'stop', 'shop', 'chakradhari', 'outlet', 'update', '501', 'shopping', 'exclusive', 'vairity', 'wonderful', 'guided', 'lack', 'ok', 'chhattisgarh', 'vinay', 'metro', 'just', 'excellent', 'great', 'products', 'kar', 'improve', 'service', 'quality', 'ambience', 'collection', 'diwali', 'trends', 'staff', 'satisfied', 'market', 'happy', 'stores', 'asap', 'way', 'awesome', 'sooo', 'customer', 'location', 'nice', 'jaya', 'collections', 'variety', 'members', 'supriya', 'shirt', 'helpful', 'product', 'good', 'experience', 'change', 'portfolio', 'fashion', 'cities', 'shirts']"
ROMG,Karad,"['best', 'keepers', 'stock', 'excellent', 'great', 'service', 'premises', 'staff', 'operative', 'thanks', 'verity', 'customers', 'perfect', 'rohit', 'patil', 'nice', 'store', 'good', 'experience', 'shivraj', 'showroom', 'fabric', 'karad']"
Gujarat,Junagadh,"['best', 'shopping', 'ok', 'amazing', 'place', 'service', 'quality', 'staff', 'make', 'visit', 'customers', 'awesome', 'perfect', 'discount', 'nice', 'really', 'checkout', 'good', 'experience', 'nature', 'gesture', 'regular']"
ROMG,Kolhapur,"['person', 'casual', 'shopping', 'class', 'excellent', 'like', 'vaibhav', 'customers', 'customer', 'kolhapur', 'job', 'comfort', 'sushant', 'pratiksha', 'need', 'options', 'formal', 'chlotgs', 'rajarampuri', 'jeans', 'stop', 'improvement', 'update', 'aaditya', 'clothing', 'plz', 'market', 'served', 'knowledge', 'prices', 'levi', 'luxurious', 'discounts', 'visit', 'soled', 'brand', 'discount', 'collections', 'variety', 'extra', 'sar', 'akash', 'experience', 'brands', 'mayuresh', 'shirts', 'thing', 'excellence', 'best', 'aligned', 'matching', 'guided', 'things', 'trending', 'decent', 'styls', 'products', 'requested', 'vaibav', 'overpriced', 'quality', 'sales', 'staff', 'behaviour', 'sieving', 'clothes', 'perfect', 'love', 'nice', 'cash', 'jolly', 'product', 'gor', 'cooperative', 'work', 'expected', 'got', 'expensive', 'maximum', 'goop', 'denim', 'improved', 'style', 'stock', 'levis', 'great', 'improve', 'service', 'professional', 'manager', 'collection', 'impactive', 'ladies', 'sarvice', 'vaibha', 'awesome', 'satisfactory', 'material', 'sweatshirts', 'designs', 'store', 'shirt', 'arjun', 'good', 'khatarnak', 'looks', 'offers', 'rates', 'hegade', 'teem', 'regular']"
Gujarat,Gandhinagar,"['jeans', 'best', 'amazing', 'style', 'excellent', 'gandhinagar', 'great', 'mannered', 'service', 'inf', 'collection', 'sizes', 'hoodies', 'visit', 'women', 'customer', 'nice', 'length', 'superb', 'hust', 'good', 'experience', 'price', 'fabric', '511']"
ROMG,Sangli,"['shirt', 'clothes', 'caller', 'namrata', 'customer', 'fabric', 'good', 'team', 'experience', 'service', 'best', 'nice', 'ane', 'support', 'namr6', 'shoping', 'store', 'raj']"
MPCG,Jabalpur,"['jeans', 'color', 'valid', 'trial', 'resolution', 'resizing', 'gr8', 'great', 'serves', 'gift', 'service', 'ambience', 'collection', 'dubey', 'staff', 'happy', 'lol', 'awesome', 'pooja', 'feel', 'points', 'love', 'trend', 'introduced', 'nice', 'variety', 'free', 'rooms', 'gautam', 'good', 'experience', 'singh', 'mahendra', 'friendly', 'years', 'cooperation']"
Gujarat,Gandhidham,"['ok', 'stock', 'options', 'quality', 'discount', 'nice', 'expensive', 'gujarat', 'gandhidham', 'better']"
MPCG,Bilaspur,"['fav', 'trial', 'given', 'best', 'update', 'shopping', 'type', 'colours', 'excellent', 'fantastic', 'products', 'great', 'quality', 'service', 'aal', 'collection', 'sizes', 'staff', 'better', 'thanks', 'levi', 'feel', 'expert', 'sharvis', 'simple', 'special', 'nice', 'choices', 'designs', 'plus', 'store', 'patient', 'helpful', 'product', 'rooms', 'good', '3000', 'experience', 'offers', 'storage', 'stuff']"
ROMG,Aurangabad,"['product', 'good', 'improve', 'quality', 'variety', 'store', 'shirts']"
MPCG,Ambikapur,"['38', 'frequently', 'team', 'service', 'offers', 'nice', 'thanks']"
MPCG,Bhilai,"['service', 'nice', 'superb']"
